"Data";"20553 - Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Aquisição de veículos - R$ (milhões";"20556 - Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Arrendamento mercantil de veículos - R$ (milhões)";"20581 - Saldo da carteira de crédito com recursos livres - Pessoas físicas - Aquisição de veículos - R$ (milhões)";"20584 - Saldo da carteira de crédito com recursos livres - Pessoas físicas - Arrendamento mercantil de veículos - R$ (milhões)";"20645 - Concessões de crédito com recursos livres - Pessoas jurídicas - Aquisição de veículos - R$ (milhões)";"20648 - Concessões de crédito com recursos livres - Pessoas jurídicas - Arrendamento mercantil de veículos - R$ (milhões)";"20673 - Concessões de crédito com recursos livres - Pessoas físicas - Aquisição de veículos - R$ (milhões)";"20676 - Concessões de crédito com recursos livres - Pessoas físicas - Arrendamento mercantil de veículos - R$ (milhões)";"20728 - Taxa média de juros das operações de crédito com recursos livres - Pessoas jurídicas - Aquisição de veículos - % a.a.";"20731 - Taxa média de juros das operações de crédito com recursos livres - Pessoas jurídicas - Arrendamento mercantil de veículos - % a.a.";"20749 - Taxa média de juros das operações de crédito com recursos livres - Pessoas físicas - Aquisição de veículos - % a.a.";"20752 - Taxa média de juros das operações de crédito com recursos livres - Pessoas físicas - Arrendamento mercantil de veículos - % a.a.";"20864 - Prazo médio das concessões de crédito com recursos livres - Pessoas jurídicas - Aquisição de veículos - Meses";"20867 - Prazo médio das concessões de crédito com recursos livres - Pessoas jurídicas - Arrendamento mercantil de veículos - Meses";"20886 - Prazo médio das concessões de crédito com recursos livres - Pessoas físicas - Aquisição de veículos - Meses";"20889 - Prazo médio das concessões de crédito com recursos livres - Pessoas físicas - Arrendamento mercantil de veículos - Meses";"20938 - Prazo médio da carteira de crédito com recursos livres - Pessoas jurídicas - Aquisição de veículos - Meses";"20941 - Prazo médio da carteira de crédito com recursos livres - Pessoas jurídicas - Arrendamento mercantil de veículos - Meses";"20963 - Prazo médio da carteira de crédito com recursos livres - Pessoas físicas - Aquisição de veículos - Meses";"20966 - Prazo médio da carteira de crédito com recursos livres - Pessoas físicas - Arrendamento mercantil de veículos - Meses";"21017 - Percentual da carteira de crédito com recursos livres com atraso entre 15 e 90 dias - Pessoas jurídicas - Aquisição de veículos - %";"21020 - Percentual da carteira de crédito com recursos livres com atraso entre 15 e 90 dias - Pessoas jurídicas - Arrendamento mercantil de veículos - %";"21042 - Percentual da carteira de crédito com recursos livres com atraso entre 15 e 90 dias - Pessoas físicas - Aquisição de veículos - %";"21045 - Percentual da carteira de crédito com recursos livres com atraso entre 15 e 90 dias - Pessoas físicas - Arrendamento mercantil de veículos - %";"21096 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Aquisição de veículos - %";"21099 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Arrendamento mercantil de veículos - %";"21121 - Inadimplência da carteira de crédito com recursos livres - Pessoas físicas - Aquisição de veículos - %";"21124 - Inadimplência da carteira de crédito com recursos livres - Pessoas físicas - Arrendamento mercantil de veículos - %";"25447 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Aquisição de veículos - % a.m.";"25450 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Arrendamento mercantil de veículos - % a.m.	";"25471 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Aquisição de veículos - % a.m.";"25474 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Arrendamento mercantil de veículos - % a.m.";"27658 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Aquisição de veículos - % a.a.";"27660 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Arrendamento mercantil de veículos - % a.a.";"27680 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas físicas - Aquisição de veículos - % a.a.";"27682 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas físicas - Arrendamento mercantil de veículos - % a.a.";"27735 - Saldo das operações de crédito por atividade econômica - Geral - veículos automotores - R$ (milhões)"
2018-11-01;26586;2516;167579;864;2027;91;9510;49;15,1;13,41;21,68;14,92;41,08;40,76;43,33;51,13;17,01;15,34;16,18;18,46;3,34;1,3;6,32;5,64;1,17;2,61;3,36;1,68;1,18;1,05;1,65;1,17;16,69;14,64;23,07;16,47;35317
2018-12-01;27944;2507;170287;881;2194;134;9540;53;14,79;13,57;21,68;15,59;41,95;41,02;43,57;52,7;17,12;15,43;16,23;18,95;3,24;1,18;5,93;4,99;1,12;2,94;3,35;1,57;1,16;1,07;1,65;1,21;16,48;14,56;22,95;16,38;38202
2019-01-01;28526;2477;172914;887;1691;83;9663;45;15,47;12,72;22,36;16,55;43,28;42,94;43,8;50,7;17,25;15,42;16,26;18,55;3,42;1,38;6,22;5,53;1,13;3,03;3,34;1,72;1,21;1;1,7;1,28;16,37;14,47;22,89;16,35;34454
2019-02-01;29742;2452;175044;893;2138;83;9006;43;14,97;13,88;22,01;16,83;43,07;41,22;43,63;51,53;17,45;15,63;16,3;18,79;3,26;1,36;6,05;5,37;1,08;1,17;3,24;1,62;1,17;1,09;1,67;1,3;16,23;14,41;22,81;16,33;34431
2019-03-01;31318;2550;176740;904;2433;142;8586;47;14,21;12,87;21,38;15,6;43,16;44,61;43,47;51,5;17,54;15,99;16,2;19,04;3,37;2,92;6,82;6,13;1,03;0,83;3,27;1,65;1,11;1,01;1,63;1,22;16,02;14,3;22,7;16,25;35955
2019-04-01;33099;2576;179073;921;2905;130;9823;55;13,82;12,64;21,26;15,29;44,07;49,4;43,73;52,83;17,93;16,39;16,34;19,28;3,26;4,74;6,87;6,06;1,01;0,84;3,25;1,66;1,08;1;1,62;1,19;15,77;14,2;22,59;16,16;34715
2019-05-01;35105;2567;181727;940;3122;104;10196;56;13,85;12,79;21,1;15,48;44,14;44,67;43,87;53,87;18,14;16,49;16,41;19,79;3,11;2,93;6,69;5,86;1,01;0,6;3,31;1,63;1,09;1,01;1,61;1,21;15,55;14;22,46;16,09;34935
2019-06-01;36885;2579;184080;958;2763;98;9118;51;13,59;12,93;20,8;15,86;44,34;39,35;44,03;53,83;18,19;16,45;16,31;20,24;3,17;5,89;6,78;5,58;0,97;0,58;3,33;1,58;1,07;1,02;1,59;1,23;15,36;13,93;22,35;16,05;37799
2019-07-01;38495;2607;185810;992;3147;159;11207;67;13,35;11,54;20,34;14,61;44,48;45,53;44,23;54,1;18,41;16,91;16,49;20,21;3,04;3,02;6,83;5,68;0,95;0,66;3,37;1,58;1,05;0,91;1,55;1,14;15,14;13,74;22,18;15,92;36909
2019-08-01;40693;2675;189657;978;3361;165;10921;24;12,89;11,35;20,1;17,01;45,4;48,72;44,43;52;18,4;17,46;16,38;20,38;2,78;1,4;6,6;5,59;0,95;2,36;3,34;1,6;1,02;0,9;1,54;1,32;14,9;13,57;22,02;15,91;37187
2019-09-01;42644;2717;192489;962;3584;159;10534;7;12,55;11,22;19,79;23,99;46,08;45,49;44,53;46,53;18,62;17,62;16,56;20,23;2,58;0,97;6,51;5,62;0,99;2,32;3,37;1,72;0,99;0,89;1,52;1,81;14,65;13,4;21,85;15,97;39132
2019-10-01;45485;2818;196121;935;3865;219;11652;7;12,37;10,57;19,65;23,12;47,04;52,44;44,63;49,23;19;18,29;16,62;19,99;2,63;0,95;6,56;5,91;0,88;2,37;3,34;1,76;0,98;0,84;1,51;1,75;14,4;13,14;21,67;15,98;38540
2019-11-01;47874;2844;199841;904;3596;120;11134;4;11,96;11,49;19,29;28,12;46,85;45,37;44,83;43,9;18,98;18,28;16,5;19,73;2,42;1,06;6,54;5,92;0,83;2,36;3,38;1,92;0,95;0,91;1,48;2,09;14,17;13,01;21,49;16,02;39696
2019-12-01;50059;2866;203579;873;3632;151;12133;6;11,94;10,85;19,15;26,85;46,28;41,32;44,9;43,73;22,86;20,26;16,72;21,23;2,76;1,15;6,25;5,68;0,89;2,22;3,45;2,11;0,94;0,86;1,47;2;13,95;12,88;21,3;16,14;43014
2020-01-01;51189;2824;206974;850;2674;69;11413;6;12,53;12,28;19,73;28,63;45,62;40,36;45,17;45,07;22,98;19,92;16,84;19,18;2,76;0,98;6,38;6,15;0,98;0,84;3,52;2,2;0,99;0,97;1,51;2,12;13,83;12,77;21,17;16,21;38021
2020-02-01;52609;2858;209000;833;2783;119;9399;9;12,07;9,79;19,4;23,59;46,16;42,67;45,1;44,37;22,86;19,84;16,72;18,97;2,86;2,67;6,64;6,63;0,98;0,83;3,6;2,38;0,95;0,78;1,49;1,78;13,7;12,62;21,05;16,28;37912
2020-03-01;54262;2844;209308;812;3217;95;8649;7;11,48;9,51;19,76;25,56;46,21;42,38;45,1;43;23,14;19,67;16,78;18,66;3,52;2,76;7,69;8,34;1,08;0,81;3,78;2,65;0,91;0,76;1,51;1,91;13,52;12,37;20,95;16,35;39686
2020-04-01;53517;2776;205932;786;1351;22;4338;2;12,27;12,2;20,38;27,38;44,7;39,27;44,33;41,03;23,17;19,33;16,83;18,31;6,64;4,27;7,21;13,06;1,32;2,23;4,21;3,13;0,97;0,96;1,56;2,04;13,37;12,15;20,87;16,51;38459
2020-05-01;54352;2716;204540;757;1673;17;6259;2;12,6;12,13;19,46;27,65;45,42;33,77;43,87;43,73;22,9;19;16,73;18,09;4,46;1,49;6,58;10,65;1,39;2,16;4,54;3,69;0,99;0,96;1,49;2,06;13,25;12,12;20,75;16,55;36906
2020-06-01;53915;2647;204651;729;2549;36;9096;5;12,08;11;18,99;27,26;45,17;45,69;44,43;45,17;23,21;18,8;16,83;17,76;2,97;1,03;5,18;8,81;1,34;2,12;4,28;4,4;0,95;0,87;1,46;2,03;13,13;12,05;20,6;16,64;35327
2020-07-01;54923;2563;205765;700;3253;72;10767;4;11,91;12,38;18,87;27,87;45,44;37,07;44,63;45,43;24,23;18,67;17,17;17,48;2,2;0,94;4,83;7,73;1,19;0,37;3,96;4,58;0,94;0,98;1,45;2,07;13,02;12,05;20,44;16,82;35282
2020-08-01;55822;2533;206747;671;2874;80;10925;4;11,63;11,44;18,9;26,61;44,47;38,21;45;42,57;24,2;18,45;16,85;17,17;2,07;1,61;4,8;7,66;1,07;0,3;3,65;4,51;0,92;0,91;1,45;1,99;12,91;12,15;20,32;16,62;36181
2020-09-01;57015;2479;209163;644;3274;51;11976;2;11,34;11,27;18,58;26,47;44,37;37,11;45,17;44,87;24,11;18,35;26,2;15,25;1,98;0,72;4,69;7,39;0,98;0,36;3,48;4,53;0,9;0,89;1,43;1,98;12,78;12,1;20,17;16,66;37288
